id_project_x,Quarter2_y,0.Not Rated,1.Low,2.Moderate,3.Substantial,4.High
BA-L9043,Q3,,,2,,
,Q4,,,,3,
BO-L9906,Q2,,,,3,
,Q3,,,,,4
CR-L9032,Q4,,,,3,4
DR-L9934,Q2,,,,3,
,Q3,,,,,4
DR-L9935,Q1,,,,,4
,Q4,,,,3,
EC-J0006,Q1,,1,,,
,Q4,0,,,,
EC-L9999,Q3,,1,,,
,Q4,,,,3,
ES-L9096,Q2,,,2,,
,Q3,,,,3,
ES-L9939,Q2,,1,,,
,Q3,,,,3,
HA-L9089,Q3,,,,3,
,Q4,,,,,4
HO-G9254,Q1,0,,,,
,Q2,,1,,,
HO-L9986,Q1,,,,,4
,Q4,,,,3,
HO-L9988,Q1,,,,3,
,Q3,,,2,,
ME-G9002,Q3,,,2,,
,Q4,,,,3,
ME-L9948,Q3,,,2,,
,Q4,,,,3,
OC-L9079,Q2,,1,,,
,Q3,,,,3,
OC-L9392,Q3,,1,,,
,Q4,,,2,,
OC-L9936,Q1,,,2,,
,Q2,,,,3,
OC-L9948,Q2,,,,3,
,Q3,,,,,4
OC-L9959,Q2,,,2,,
,Q3,,,,3,
PN-L9072,Q1,,,,,4
,Q4,,,,3,
PN-L9929,Q1,,,2,3,
PP-L9092,Q1,,,2,,
,Q2,,,,3,
PP-L9953,Q3,,,2,,
,Q4,,,,3,
PP-L9959,Q1,,1,,,
,Q2,,,,3,
PR-L9948,Q3,,,2,,
,Q4,,,,3,
RE-G9099,Q3,,1,,,
,Q4,,,2,,
RE-J0090,Q2,0,,,,
,Q3,,1,,,
RG-L9074,Q2,,1,,,
,Q3,,,,,4
RG-L9996,Q2,,,,,4
,Q4,,1,,,
SU-L9055,Q1,,,,,4
,Q4,,,,3,
TT-L9034,Q3,,1,,,
,Q4,,,2,,
TT-L9038,Q1,,1,,,
,Q2,,,2,,
TT-L9042,Q1,,,2,,
,Q4,,1,,,
TT-L9044,Q2,,1,,,
,Q3,,,2,,
UR-L9946,Q1,,,,3,
,Q2,,,,,4
UR-L9949,Q4,,,2,3,
US-L9295,Q2,,,,3,
,Q3,,,,,4
US-L9300,Q2,,,,3,
,Q3,,,,,4
US-L9335,Q1,,,,,4
,Q4,,,,3,
US-L9499,Q4,,1,2,,
US-L9499B,Q2,,1,,,
,Q3,,,2,,
US-L9976,Q2,,,,3,
,Q3,,,,,4
US-L9997,Q1,,,,,4
,Q4,,,,3,
